Feature_Name,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Feature_Type,Quad,Approval_Status,Origin
Amphitrites Patera,129.8,-58.7,60.87,-57.64,-59.8,62.97,58.75,"Patera, paterae",mc28,Approved,Mare Amphitrites; classical albedo feature name.
Amsterdam,1.66,23,-47,23.02,22.99,-46.99,-47.02,"Crater, craters",mc10,Approved,Dutch port.
Andapa,11,-5.33,-4.73,-5.24,-5.42,-4.64,-4.82,"Crater, craters",mc19,Approved,Town in Madagascar.
Angelica,3.5,18.65,76.95,18.68,18.62,76.99,76.92,"Crater, craters",mc13,Approved,"Town in New York, USA."
Angu,2.08,20.01,105.64,20.03,20,105.66,105.62,"Crater, craters",mc14,Approved,Town in Zaire.
Angustus Labyrinthus,67.52,-81.62,-63.39,-81.16,-82.18,-61.41,-66.59,"Labyrinthus, labyrinthi",mc30,Approved,Classical albedo feature name.
Aniak,50.97,-31.84,-69.56,-31.47,-32.21,-69.06,-70.06,"Crater, craters",mc25,Approved,"Town in Alaska, USA."
Anio Valles,54,37.75,55.89,38.01,37.46,56.22,55.63,"Vallis, valles",mc05,Approved,Classical river in Italy; modern Aniene and Teverone rivers.
Annapolis,1.11,23.16,-47.73,23.17,23.16,-47.72,-47.74,"Crater, craters",mc10,Approved,American colonial town (Maryland).
Anseris Mons,52.51,-29.81,86.65,-29.49,-30.16,87.18,86.14,"Mons, montes",mc21,Approved,From albedo feature Anseris Fons.
Antoniadi,400.95,21.38,60.83,24.76,18,64.47,57.2,"Crater, craters",mc13,Approved,Eugène Michael; Turkish-born French astronomer (1870-1944).
Aonia Mons,27.07,-53.33,-87.92,-53.16,-53.48,-87.55,-88.32,"Mons, montes",mc25,Approved,Classical albedo feature name.
Aonia Planum,563.45,-57.9,-78.67,-53.11,-62.15,-71.11,-88.24,"Planum, plana",mc25,Approved,Classical albedo feature name.
Aonia Terra,3873.48,-60.2,-97.05,-30.8,-80.54,-60.25,-162.88,"Terra, terrae",mc25,Approved,Classical albedo feature name.
Aonia Tholus,53.69,-59.04,-80.04,-58.74,-59.37,-79.09,-80.86,"Tholus, tholi",mc25,Approved,Classical albedo feature name.
Aonium Sinus,0,-44.66,-105,-44.66,-44.66,-105,-105,Albedo Feature,mc25,Approved,"Named for Aonides, or Muses."
Apia,10.06,-37.28,89.02,-37.2,-37.37,89.12,88.91,"Crater, craters",mc28,Approved,Town in Samoa.
Apollinaris Mons,275.4,-9.17,174.79,-6.88,-11.47,176.4,172.66,"Mons, montes",mc23,Approved,Classical albedo feature name. 
Apollinaris Patera,89.6,-8.57,174.18,-7.92,-9.22,174.91,173.43,"Patera, paterae",mc23,Approved,Classical albedo feature name.
Apollinaris Sulci,188.64,-11.06,177.47,-9.47,-12.65,178.8,176.21,"Sulcus, sulci",mc23,Approved,"Albedo feature at 5S, 187W."
Apollinaris Tholus,32.39,-17.64,175.75,-17.38,-17.91,176.04,175.47,"Tholus, tholi",mc23,Approved,Albedo feature name.
Apollo Patera,24,17.94,-133.55,18.09,17.78,-133.36,-133.73,"Patera, paterae",mc09,Approved,"Greek god of light, poetry, music and arts, one of the Olympian gods, son of Zeus."
Apsus Vallis,121.56,34.91,134.99,35.78,33.99,135.52,134.66,"Vallis, valles",mc07,Approved,"Classical river in ancient Macedonia, present-day Greece."
Apt,9.57,39.88,-9.47,39.96,39.8,-9.36,-9.57,"Crater, craters",mc04,Approved,Town in France.
Arabia,0,19.78,30,19.78,19.78,30,30,Albedo Feature,mc12,Approved,Country bordering on Aeria (Egypt).
Arabia Terra,4851.74,21.25,5.72,45.36,-18.07,49.44,-29.69,"Terra, terrae",mc12,Approved,Classical albedo feature name.
Arago,152.35,10.22,29.93,11.51,8.94,31.23,28.62,"Crater, craters",mc12,Approved,Dominique F.; French astronomer (1786-1853).
Aram Chaos,283.81,2.52,-22.39,5.17,0.34,-19.28,-23.55,"Chaos, chaoses",mc11,Approved,Classical albedo feature name.
Aram Dorsum,83.31,7.8,-11.24,8.3,7.76,-10.76,-11.81,"Dorsum, dorsa",mc11,Approved,Classical albedo feature name.
Arandas,24.76,42.41,-15.03,42.62,42.2,-14.74,-15.3,"Crater, craters",mc04,Approved,Town in Mexico.
Arcadia,0,44.66,-100,44.66,44.66,-100,-100,Albedo Feature,mc03,Approved,Mountainous region in southern Greece.
Arcadia Dorsa,1952.65,55.9,-137.56,66.81,39.45,-114.42,-157.51,"Dorsum, dorsa",mc02,Approved,"Named for classical albedo feature at 45N, 120W."
Arcadia Planitia,2245,49.02,-171.85,64.17,33.87,-149.57,165.86,"Planitia, planitiae",mc02,Approved,"From classical albedo feature at 45N, 120W."
Arda Valles,173.67,-20.4,-32.31,-19.47,-21.38,-30.86,-33.92,"Vallis, valles",mc19,Approved,Ancient European river (Bulgaria).
Arena Colles,580.12,24.63,82.93,29.5,19.75,87.02,79.66,"Collis, colles",mc13,Approved,"Classical albedo feature at 13N, 294W."
Arena Dorsum,372.03,12.71,68.94,15.65,9.68,69.03,68.06,"Dorsum, dorsa",mc13,Approved,Classical albedo feature name.
Ares Vallis,1757.67,10.29,-25.61,20.82,0.33,-17.24,-36,"Vallis, valles",mc11,Approved,Word for 'Mars' in Greek.
Argas,3.55,23.33,-50.17,23.36,23.3,-50.14,-50.2,"Crater, craters",mc10,Approved,Town in Russia.
Argentea Planum,1370.64,-72.49,-61.67,-63.86,-81.79,-22.11,-86.07,"Planum, plana",mc30,Approved,Classical albedo feature name.
Argyre,0,-44.66,-25,-44.66,-44.66,-25,-25,Albedo Feature,mc26,Approved,"""Silver"" Island at mouth of Ganges River; present-day Arakan, Burma."
Argyre Cavi,72.33,-48.31,-40.12,-47.74,-48.94,-39.41,-40.89,"Cavus, cavi",mc26,Approved,Albedo name.
Argyre Mons,60.58,-50.37,-48.09,-49.87,-50.89,-47.42,-48.73,"Mons, montes",mc26,Approved,Classical albedo feature name.
Argyre Planitia,892.93,-49.84,-43.31,-42.44,-57.29,-33.38,-53.88,"Planitia, planitiae",mc26,Approved,Classical albedo feature name.
Argyre Rupes,335.42,-62.15,-68.75,-59.88,-64.43,-65.74,-71.42,"Rupes, rupēs",mc25,Approved,Classical albedo feature name.
Ariadnes Colles,188.01,-34.5,172.78,-33.2,-36.13,174.81,170.97,"Collis, colles",mc29,Approved,Classical albedo feature name.
Arica,15.77,-23.8,110.24,-23.67,-23.93,110.39,110.09,"Crater, craters",mc22,Approved,Town in Colombia.
Arima,53.59,-15.84,-63.68,-15.39,-16.3,-63.21,-64.14,"Crater, craters",mc18,Approved,Town in Trinidad and Tobago.
Arimanes Rupes,192.67,-9.84,-147.7,-8.31,-11.33,-147.15,-147.84,"Rupes, rupēs",mc16,Approved,Albedo feature; classical Persian deity of wickedness.
Arkhangelsky,116.83,-41.09,-24.79,-40.1,-42.07,-23.47,-26.09,"Crater, craters",mc26,Approved,A.D.; Russian geologist.
Arnon,0,47.66,25,47.66,47.66,25,25,Albedo Feature,mc05,Approved,"Classical name for present El-Mojib River, Jordan."
Arnus Vallis,311.61,13.97,70.61,16.38,11.95,71.24,69.5,"Vallis, valles",mc13,Approved,"Classical and present day Arno River in Tuscany, Italy (previously named Arena Rupes)."
Aromatum Chaos,72.8,-1.03,-42.97,-0.71,-1.52,-42.36,-43.58,"Chaos, chaoses",mc19,Approved,Classical albedo feature name.
Arrhenius,122.72,-40.04,122.71,-39.01,-41.08,124.06,121.35,"Crater, craters",mc29,Approved,Svante; Swedish physical chemist (1859-1927).
Arsia Chasmata,97.06,-7.47,-119.35,-6.67,-8.27,-118.63,-120.1,"Chasma, chasmata",mc17,Approved,Albedo name.
Arsia Mons,470,-8.26,-120.09,-4.72,-11.57,-116.18,-123.73,"Mons, montes",mc17,Approved,Arsia Silva-classical albedo feature name.
Arsia Sulci,500,-6.29,-129.81,-2.37,-10.76,-126.03,-130.51,"Sulcus, sulci",mc17,Approved,Albedo name.
Arsinoes Chaos,200.08,-7.66,-27.92,-6.37,-9.29,-26.08,-29.05,"Chaos, chaoses",mc19,Approved,Daughter of Ptolomy Lagun and Bernice.
Arta,3.96,21.38,-54.29,21.42,21.35,-54.25,-54.32,"Crater, craters",mc10,Approved,Town in Russia.
Artik,5.36,-34.8,130.98,-34.76,-34.85,131.04,130.93,"Crater, craters",mc29,Approved,Town in Armenia.
Artynia Catena,279.28,47.69,-119.45,50.02,45.36,-119.44,-119.7,"Catena, catenae",mc03,Approved,"Named for classical albedo feature at 54N, 137W."
Asau,25.05,-3.63,154.68,-3.43,-3.83,154.89,154.47,"Crater, craters",mc23,Approved,Village in Tuvalu.
Ascraeus Chasmata,105.2,8.77,-105.63,9.58,7.77,-104.74,-106.43,"Chasma, chasmata",mc09,Approved,Classical albedo name.
Ascraeus Mensa,34.86,11.72,-107.89,12.03,11.44,-107.74,-108.06,"Mensa, mensae",mc09,Approved,Classical albedo name.
Ascraeus Mons,456.4,11.92,-104.08,15.66,8.18,-101,-107.51,"Mons, montes",mc09,Approved,Ascraeus Lacus-classical albedo feature name.
Ascraeus Sulci,138.7,12.06,-108.75,13.15,11.02,-107.71,-109.14,"Sulcus, sulci",mc09,Approved,Classical albedo name.
Ascuris Planum,617.66,40.59,-80.78,43.94,36.28,-73.76,-86.24,"Planum, plana",mc03,Approved,Classical albedo name.
Asimov,80.82,-46.97,4.93,-46.29,-47.65,5.92,3.92,"Crater, craters",mc27,Approved,Isaac; American biochemist and writer (1920-1992).
Asopus Vallis,40.82,-4.29,-149.61,-4.01,-4.62,-149.46,-149.63,"Vallis, valles",mc16,Approved,"Classical name for modern Hagios River, Greece."
Aspen,18.48,-21.39,-23.15,-21.23,-21.54,-22.98,-23.31,"Crater, craters",mc19,Approved,"Town in Colorado, USA."
Aspledon Undae,215.2,73.06,-50.35,75.14,71.47,-44.96,-54.17,"Unda, undae",mc01,Approved,Classical albedo feature name.
Astapus Colles,597,35.46,88.08,38.35,31.35,92.67,81.77,"Collis, colles",mc06,Approved,"From albedo feature at 35N, 269W."
Athabasca Valles,270,8.54,155.01,10.04,7.22,156.78,153.17,"Vallis, valles",mc15,Approved,River in Canada. (Changed from Athabasca Vallis.)
Athena Patera,19,18.74,-132.82,18.88,18.59,-132.67,-132.98,"Patera, paterae",mc09,Approved,"Greek goddess of wisdom, one of the Olympians, daughter of Zeus."
Atlantis Chaos,181.37,-34.28,-177.31,-32.76,-35.78,-175.88,-179.06,"Chaos, chaoses",mc24,Approved,"From albedo feature at 30N, 173W."
Atlantis Mons,105,-28.71,-175.23,-27.88,-29.7,-174.28,-176.08,"Mons, montes",mc16,Approved,"Classical albedo feature, Atlantis."
Atrax Fossa,34.42,38.19,-88.98,38.37,38.05,-88.69,-89.3,"Fossa, fossae",mc03,Approved,Classical town.
Auce,37.01,-27.17,80.14,-26.85,-27.48,80.48,79.8,"Crater, craters",mc21,Approved,Town in Latvia.
Auki,40,-15.76,96.87,-15.44,-16.08,97.21,96.54,"Crater, craters",mc22,Approved,Town in the Solomon Islands.
Auqakuh Vallis,347,30.25,60.41,32.5,27.36,61.9,59.86,"Vallis, valles",mc06,Approved,Word for 'Mars' in Quechua (Inca).
Aureum Chaos,351.03,-3.89,-26.96,-1.27,-6.47,-24.27,-30.08,"Chaos, chaoses",mc19,Approved,Classical albedo feature name.
Aurorae Chaos,713.92,-8.47,-34.81,-4.67,-12.22,-28.89,-40.87,"Chaos, chaoses",mc19,Approved,Classical albedo name.
Aurorae Planum,564.49,-10.41,-48.62,-8.56,-14.17,-43.63,-53.05,"Planum, plana",mc18,Approved,Classical albedo feature name.
Aurorae Sinus,0,-14.83,-50,-14.83,-14.83,-50,-50,Albedo Feature,mc18,Approved,"""Bay of Rosy Dawn""; Aurora held back the dawn."
Ausonia,0,-39.67,110,-39.67,-39.67,110,110,Albedo Feature,mc28,Approved,Country of the Aruncii (Ausones in Greek).
Ausonia Cavus,49.5,-31.92,96.55,-31.51,-32.33,96.92,96.14,"Cavus, cavi",mc28,Approved,Albedo feature Ausonia.
Ausonia Mensa,102.51,-30.02,97.72,-29.57,-30.55,98.7,96.69,"Mensa, mensae",mc28,Approved,Albedo feature name.
Ausonia Montes,333.13,-25.42,99.04,-23.14,-28.79,102.07,96.03,"Mons, montes",mc22,Approved,Albedo feature name.
Australe Lingula,436.33,-84.05,68.56,-80.19,-87.64,95.5,28.4,"Lingula, lingulae",mc30,Approved,Classical albedo feature name.
Australe Mensa,172,-86.88,-2.76,-85.5,-87.97,19.8,-21.2,"Mensa, mensae",mc30,Approved,Classical albedo feature name.
Australe Montes,411.67,-80.19,14.05,-76.39,-83.17,30.5,7.54,"Mons, montes",mc30,Approved,Classical albedo feature name.
Australe Scopuli,504.58,-83.48,-112.94,-79.19,-86.23,-82.29,-157.88,"Scopulus, scopuli",mc30,Approved,Classical albedo feature name.
Australe Sulci,357.91,-84.99,133.06,-82.42,-87.3,168.19,118.46,"Sulcus, sulci",mc30,Approved,Classical albedo feature name.
Auxo Dorsum,82.05,-55.72,-41.76,-55.21,-55.87,-41.08,-42.89,"Dorsum, dorsa",mc26,Approved,One of the Graces.
Avan,3.3,-10.97,-69.77,-10.94,-11,-69.74,-69.8,"Crater, craters",mc18,Approved,Village in Armenia.
Avarua,49.99,-35.93,109.66,-35.5,-36.35,110.19,109.15,"Crater, craters",mc28,Approved,Town in the Cook Islands.
Aveiro,9.11,21.28,-78.97,21.36,21.2,-78.89,-79.05,"Crater, craters",mc10,Approved,Town in Portugal.
Avernus Cavi,115,-3.72,172.52,-2.84,-4.75,172.92,171.91,"Cavus, cavi",mc23,Approved,"Named for albedo feature at 10S, 195W."
Avernus Colles,238.7,-1.73,171.02,0.33,-3.79,172.9,169.85,"Collis, colles",mc23,Approved,"Named for albedo feature at 10S, 195W."
Avernus Dorsa,296.59,-6.03,170.9,-3.53,-8.53,171.96,169.9,"Dorsum, dorsa",mc23,Approved,"From albedo feature at 4S, 190W."
Avernus Rupes,223.32,-9.2,172.8,-7.47,-10.85,173.68,172.65,"Rupes, rupēs",mc23,Approved,"From albedo feature Avernus at 10S, 195W."
Avire,6.85,-40.82,-159.76,-40.76,-40.88,-159.68,-159.83,"Crater, craters",mc24,Approved,Town in the Republic of Vanuatu.
Axius Valles,435.95,-54.53,70.72,-51.03,-57.98,74.77,65.4,"Vallis, valles",mc28,Approved,Ancient European River (Vardar River of Greece).
Ayacucho,2.59,38.18,-92.03,38.2,38.16,-92,-92.05,"Crater, craters",mc03,Approved,Town in Bolivia.
Ayr,12.74,-38.98,91.58,-38.88,-39.09,91.72,91.45,"Crater, craters",mc28,Approved,"Town in Queensland, Australia."
Azul,19.53,-42.07,-42.51,-41.9,-42.23,-42.29,-42.73,"Crater, craters",mc26,Approved,Town in Argentina.
Azusa,39.25,-5.48,-40.32,-5.15,-5.81,-39.98,-40.65,"Crater, craters",mc19,Approved,"Town in California, USA."
Babakin,76.66,-36,-71.44,-35.36,-36.65,-70.64,-72.24,"Crater, craters",mc25,Approved,Soviet builder of unmanned space stations (1914-1970).
Bacht,7.86,18.66,102.7,18.72,18.59,102.77,102.63,"Crater, craters",mc14,Approved,Town in Uzbekistan.
Bacolor,21.58,32.99,118.6,33.18,32.81,118.82,118.38,"Crater, craters",mc06,Approved,Town in the Philippines.
Bada,2.52,20.35,-50.69,20.37,20.33,-50.67,-50.71,"Crater, craters",mc10,Approved,Town in Russia.
Badwater,33.14,-32.79,62.14,-32.51,-33.08,62.46,61.83,"Crater, craters",mc28,Approved,"Town in California, USA."
Baetis Chaos,66.66,-0.17,-60.4,0.38,-0.73,-60.04,-60.86,"Chaos, chaoses",mc18,Approved,Classical albedo feature name.
Baetis Chasma,92.21,-4.29,-64.87,-3.68,-4.97,-64.41,-65.5,"Chasma, chasmata",mc18,Approved,"From classical albedo feature at 5S, 60W; changed from Iamunae Chasma."
Baetis Labēs,88,-3.67,-71.46,-3.01,-4.36,-70.77,-72.27,"Labes, labēs",mc18,Approved,"Classical albedo feature, Baetis."
Baetis Mensa,181.1,-5.17,-72.45,-3.82,-6.72,-71.72,-73.04,"Mensa, mensae",mc18,Approved,"From albedo feature at 7S, 63W."
Bahn,11.93,-3.5,-43.32,-3.4,-3.6,-43.21,-43.41,"Crater, craters",mc19,Approved,Town in Liberia.
Bahram Vallis,269.68,20.42,-57.14,21.57,20.08,-55.52,-59.45,"Vallis, valles",mc10,Approved,Word for 'Mars' in Persian.
Bak,3.13,18.05,103.78,18.08,18.02,103.81,103.76,"Crater, craters",mc14,Approved,Town in Hungary.
Bakhuysen,152.9,-22.97,15.73,-21.68,-24.26,17.13,14.33,"Crater, craters",mc20,Approved,Hendrik G.; Dutch astronomer (1838-1923).
Balboa,21.95,-3.82,-33.88,-3.64,-4.01,-33.69,-34.06,"Crater, craters",mc19,Approved,"Town in the Republic of Panama, formerly within the US Panama Canal Zone."
Baldet,181.31,22.76,65.48,24.29,21.23,67.14,63.82,"Crater, craters",mc13,Approved,Fernand; French astronomer (1885-1964).
Balta,17.28,-23.82,-26.55,-23.67,-23.96,-26.39,-26.71,"Crater, craters",mc19,Approved,Town in Ukraine.
Baltia,0,59.71,-50,59.71,59.71,-50,-50,Albedo Feature,mc04,Approved,Name of large island in northern Europe where amber was found.
Baltisk,50.75,-42.27,-54.66,-41.84,-42.7,-54.07,-55.23,"Crater, craters",mc26,Approved,Town in Russia.
Balvicar,20.35,16.2,-53.24,16.37,16.03,-53.06,-53.42,"Crater, craters",mc10,Approved,Town in Scotland.
Bam,6.8,-25.79,115.67,-25.73,-25.85,115.73,115.61,"Crater, craters",mc22,Approved,Town in Kermān province in Iran.
Bamba,22.57,-3.36,-41.59,-3.17,-3.55,-41.4,-41.78,"Crater, craters",mc19,Approved,Town in Zaire.
Bamberg,55.7,39.71,-3.1,40.18,39.24,-2.48,-3.7,"Crater, craters",mc04,Approved,Town in Germany.
Banes,41,10.76,-4.32,11.1,10.42,-3.99,-4.66,"Crater, craters",mc11,Approved,Town in Cuba.
Banff,5,17.51,-30.71,17.55,17.47,-30.66,-30.75,"Crater, craters",mc11,Approved,"Town in Alberta, Canada."
Banh,14.4,19.42,-55.5,19.54,19.3,-55.36,-55.62,"Crater, craters",mc10,Approved,Town in Burkina Faso (formerly Upper Volta).
Baphyras Catena,95.52,38.83,-84.16,39.18,38.42,-83.23,-85.03,"Catena, catenae",mc03,Approved,Classical river.
Bar,2.06,-25.25,-19.5,-25.23,-25.26,-19.48,-19.52,"Crater, craters",mc19,Approved,Town in Ukraine.
Barabashov,120.67,47.33,-68.75,48.34,46.31,-67.24,-70.25,"Crater, craters",mc03,Approved,Nikolay P.; Russian astronomer (1894-1971).
Barnard,121.11,-61.06,61.59,-60.04,-62.09,63.7,59.48,"Crater, craters",mc28,Approved,Edward E.; American astronomer (1857-1923).
Baro,16.93,-24.8,110.7,-24.66,-24.95,110.86,110.54,"Crater, craters",mc22,Approved,Town in Nigeria.
Barsukov,68.45,7.97,-29.02,8.55,7.4,-28.43,-29.59,"Crater, craters",mc11,Approved,Valery L.; Soviet geochemist and planetologist (1928-1992).
Barth,111,7.44,25.67,8.37,6.51,26.6,24.73,"Crater, craters",mc12,Approved,Charles A.; American atmospheric physicist (1930-2014).
Bashkaus Valles,246.93,-25.68,-3.26,-23.51,-27.69,-1.83,-5,"Vallis, valles",mc19,Approved,"River in the Altai Republic, Russia."
